"S/W catalog ID","S/W catalog name","S/W ver.","S/W category","S/W type","License ID","S/W distribution type","Serial No./Product ID","Host name","User ID","Ownership dept.","Use dept.","License name"
"10000002","ManagementCore Agent","7.0.0.0","","Managed","","Unconfirmed","","T1764650-01","","TDSC/TEKR","TDSC/TEKR",""
"10000002","ManagementCore Agent","7.0.0.0","","Managed","","Unconfirmed","","TEKR-LSY-21A1","","TDSC/TEKR","TDSC/TEKR",""
"10000002","ManagementCore Agent","7.0.0.0","","Managed","","Unconfirmed","","TEKR-KMD-21A1","","TDSC/TEKR","TDSC/TEKR",""
"10000002","ManagementCore Agent","7.0.0.0","","Managed","","Unconfirmed","","TEKR-LZS-21A1","","TDSC/TEKR","TDSC/TEKR",""
"10000002","ManagementCore Agent","7.0.0.0","","Managed","","Unconfirmed","","TEKR-MSJ-21A1","","TDSC/TEKR","TDSC/TEKR",""
"10000002","ManagementCore Agent","7.0.0.0","","Managed","","Unconfirmed","","TEKR-JCY-19A1","","TDSC/TEKR","TDSC/TEKR",""
"10000002","ManagementCore Agent","7.0.0.0","","Managed","","Unconfirmed","","TEKR-MYK-18B1","","TDSC/TEKR","TDSC/TEKR",""
"10000002","ManagementCore Agent","7.0.0.0","","Managed","","Unconfirmed","","TEKR-HJN-21B1","","TDSC/TEKR","TDSC/TEKR",""
"10000002","ManagementCore Agent","7.0.0.0","","Managed","","Unconfirmed","","TEKR-HYE-21B1","","TDSC/TEKR","TDSC/TEKR",""
"10000002","ManagementCore Agent","7.0.0.0","","Managed","","Unconfirmed","","TEKR-SUK-21B1","","TDSC/TEKR","TDSC/TEKR",""
"10000002","ManagementCore Agent","7.0.0.0","","Managed","","Unconfirmed","","TEKR-LJY-21B1","","TDSC/TEKR","TDSC/TEKR",""
"10000002","ManagementCore Agent","7.0.0.0","","Managed","","Unconfirmed","","TEKR-CPS-21B1","","TDSC/TEKR","TDSC/TEKR",""
"10000002","ManagementCore Agent","7.0.0.0","","Managed","","Unconfirmed","","TEKR-LKR-21B1","","TDSC/TEKR","TDSC/TEKR",""
"10000002","ManagementCore Agent","7.0.0.0","","Managed","","Unconfirmed","","TEKR-HRA-21B1","","TDSC/TEKR","TDSC/TEKR",""
"10000002","ManagementCore Agent","7.0.0.0","","Managed","","Unconfirmed","","TEKR-SPARE-PC10","","TDSC/TEKR","TDSC/TEKR",""
"10000002","ManagementCore Agent","7.0.0.0","","Managed","","Unconfirmed","","T1764650-05","","TDSC/TEKR","TDSC/TEKR",""
"10000002","ManagementCore Agent","7.0.0.0","","Managed","","Unconfirmed","","TEKR-KJY-22A1","","TDSC/TEKR","TDSC/TEKR",""
"10000002","ManagementCore Agent","7.0.0.0","","Managed","","Unconfirmed","","TEKR-KSG-22A1","","TDSC/TEKR","TDSC/TEKR",""
"10000002","ManagementCore Agent","7.0.0.0","","Managed","","Unconfirmed","","TEKR-KJI-22A1","","TDSC/TEKR","TDSC/TEKR",""
"10000002","ManagementCore Agent","7.0.0.0","","Managed","","Unconfirmed","","TEKR-LYS-22A1","","TDSC/TEKR","TDSC/TEKR",""
"10000002","ManagementCore Agent","7.0.0.0","","Managed","","Unconfirmed","","TEKR-CJW-22A1","","TDSC/TEKR","TDSC/TEKR",""
